GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
auth-service,org.cardanofoundation.authentication.model.enums,EStatus,15,0,0,0,2,0,1,0,1,0
auth-service,org.cardanofoundation.authentication.model.enums,ENetworkType,27,0,0,0,2,0,1,0,1,0
auth-service,org.cardanofoundation.authentication.model.enums,EBookMarkType,39,0,0,0,2,0,1,0,1,0
auth-service,org.cardanofoundation.authentication.model.enums,ERole,21,0,0,0,2,0,1,0,1,0
auth-service,org.cardanofoundation.authentication.model.request.note,PrivateNoteRequest,24,0,0,0,5,0,7,0,7,0
auth-service,org.cardanofoundation.authentication.model.request.auth,ResetPasswordRequest,17,0,0,0,4,0,5,0,5,0
auth-service,org.cardanofoundation.authentication.model.request.auth,SignOutRequest,17,0,0,0,4,0,5,0,5,0
auth-service,org.cardanofoundation.authentication.model.request.auth,SignUpRequest,17,0,0,0,4,0,5,0,5,0
auth-service,org.cardanofoundation.authentication.model.request.auth,SignInRequest,14,24,0,0,2,5,4,7,4,7
auth-service,org.cardanofoundation.authentication.config.redis.standalone,RedisStandaloneConfig,71,0,0,0,17,0,5,0,5,0
auth-service,org.cardanofoundation.authentication.config.properties,MailProperties,45,0,0,0,8,0,13,0,13,0
auth-service,org.cardanofoundation.authentication.config.properties,ThreadPoolProperties,31,0,0,0,6,0,9,0,9,0
auth-service,org.cardanofoundation.authentication.config.redis.sentinel,RedisProperties,435,0,86,0,11,0,68,0,25,0
auth-service,org.cardanofoundation.authentication.config.redis.sentinel,RedisProperties.SentinelNode,115,0,22,0,3,0,20,0,9,0
auth-service,org.cardanofoundation.authentication.config.redis.sentinel,RedisConfig,190,0,0,0,42,0,19,0,19,0
auth-service,org.cardanofoundation.authentication.constant,AuthConstant,109,0,0,0,4,0,1,0,1,0
auth-service,org.cardanofoundation.authentication.constant,CommonConstant,10,0,0,0,3,0,1,0,1,0
auth-service,org.cardanofoundation.authentication,AuthServiceApplication,8,0,0,0,3,0,2,0,2,0
auth-service,org.cardanofoundation.authentication.provider,RsaProvider,85,0,2,0,23,0,8,0,7,0
auth-service,org.cardanofoundation.authentication.provider,RedisProvider,39,4,6,0,7,1,6,1,3,1
auth-service,org.cardanofoundation.authentication.provider,MailProvider,108,0,3,0,25,0,5,0,3,0
auth-service,org.cardanofoundation.authentication.provider,JwtProvider,251,4,4,0,52,1,12,1,10,1
auth-service,org.cardanofoundation.authentication.model.response,MessageResponse,41,0,0,0,10,0,8,0,8,0
auth-service,org.cardanofoundation.authentication.model.response,BookMarkResponse,45,0,0,0,8,0,13,0,13,0
auth-service,org.cardanofoundation.authentication.model.response,MessageResponse.MessageResponseBuilder,27,0,0,0,1,0,5,0,5,0
auth-service,org.cardanofoundation.authentication.model.response,UserResponse,24,0,0,0,5,0,7,0,7,0
auth-service,org.cardanofoundation.authentication.model.response,AddBookMarkResponse.AddBookMarkResponseBuilder,27,0,0,0,1,0,5,0,5,0
auth-service,org.cardanofoundation.authentication.model.response,PrivateNoteResponse,31,0,0,0,6,0,9,0,9,0
auth-service,org.cardanofoundation.authentication.model.response,UserInfoResponse.UserInfoResponseBuilder,63,0,0,0,1,0,9,0,9,0
auth-service,org.cardanofoundation.authentication.model.response,UserInfoResponse,67,0,0,0,8,0,14,0,14,0
auth-service,org.cardanofoundation.authentication.model.response,AddBookMarkResponse,27,0,0,0,4,0,6,0,6,0
auth-service,org.cardanofoundation.authentication.model.response.base,BasePageResponse.BasePageResponseBuilder,27,0,0,0,1,0,5,0,5,0
auth-service,org.cardanofoundation.authentication.model.response.base,BasePageResponse,30,0,0,0,6,0,7,0,7,0
auth-service,org.cardanofoundation.authentication.model.entity.security,UserDetailsImpl,102,0,6,0,29,0,17,0,14,0
